101-OMS-6100-CFM,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.66
306035 Aplastic_Anemia,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.17
306036 Lymphoma,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.19
306037 Disorders_Of_Hemopoietic_Stem_Cell,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.18
306039 Leukemia_Myeloid,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.11
306041 Plasma_Cell_Disorders,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.18
306042 Pediatrics_Hematology,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.10
306044 Principle_Of_Cancer_Therapy,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.24
306045 Clinical_Skills_Spt_Sga,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.36
306046 Transfusion_Medicine,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.19
306047 Normal_Hemostasis,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.18
306049 Disorders_Of_Coagulation,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.17
306051 Disorders_Of_Platelets,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.17
306053 Hem_Onc_Case_Review,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.21
306054 Ecg_Interpretation,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.10
306056 Evaluation_Of_Patient_Cv_Disease,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.15
306057 Clinical_Skills_Spt_Sga,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.30
306058 Rhythm_Disorders,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.17
306059 Acs_Stemi_Nstemi,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.19
306061 Heart_Failure,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.44
306063 Valvular_Heart_Disease,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.10
306065 Cardiomyopathy_Myocarditis,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.16
306066 Infection_And_Endocarditis,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.19
306068 Pediatric_Cardiology,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.09
306070 Peripheral_Vascular_Disease,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.31
306072 Pericardial_Disease,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.20
306073 Shock,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.20
306075 Hypertension,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.41
306080 Approach_To_Patient_W_Respiratory_Disease,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.22
306082 Respiratory_Imaging,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.17
306084 Acute_Respiratory_Failure,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.28
306087 Obstructive_Lung_Disease,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.42
306088 Obstructive_Lung_Disease,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.10
306089 Vascular_Disorders_Of_Lung,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.18
306091 Disorders_Of_Respiration,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.24
306092 Infectious_Disorders_Of_The_Lung,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.41
306095 Pediatric_Respiratory_Disorders,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.15
306096 Neoplastic_Disorders_Of_The_Lung,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.11
306097 Clinical_Skills_Spt_Sga,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.18
306099 Disorders_Of_The_Ear,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.16
306101 Disorder_Of_Pharynx_Larynx,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.16
306103 Ophthalmology_1,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.14
306104 Disorders_Of_Salivary_Glands,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.11
306105 Disorders_Of_Nose_Paranasal_Sinus,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.13
306106 Pediatrics_Heent,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.19
306107 Pediatrics_Heent,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.13
306108 Red_Eye,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.18
306110 Ophthalmology_2,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.12
306111 Ophthalmology_3,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.16
306112 Head_Neck_Imaging,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.16
306116 Ocular_Facial_Trauma,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.11
306119 Heent_Case_Review,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.20
401-OMS-6223-SP2,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.31
401001 Overview_Pituitary,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.08
401002 Adrenal_I,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.11
401004 Tyroid_I,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.08
401005 Thyroid_Ii,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.01
401006 Parathyroids,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.04
401007 Endocrine_Pancreas,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.13
401008 Pattersn_Of_Kidney_Disease,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.22
401009 Glomerular_Disease_I,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.10
401011 Tubulointerstitial,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.12
401012 Hypertension_Stones_Tumors,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.09
401013 Urinalysis,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.17
401014 Lower_Urinary_Tract,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.05
401015 Female_Gu_Pregnancy_Breast,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.11
401024 Forensics_I,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.10
401029 Skin,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.07
401034 Bones_Soft_Tissue_Joints,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.08
401038 Gastrointestinal_Hepatobiliary,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.15
401039 Gastrointestinal_Hepatobiliary,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.09
401040 Gastrointestinal_Hepatobiliary,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.05
401041 Gastrointestinal_Hepatobiliary,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.05
401042 Lab_Testing_Revisited_(Test_On_Exam_Ix),SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.16
401043 Gastrointestinal_Hepatobiliary,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.03
401044 Gastrointestinal_Hepatobiliary,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.10
401045 Forensics_Ii,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.42
401046 Skeletal_Muscle,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.13
401048 Forensics_Iii_Birth_Defects,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.19
401049 Exocrine_Pancreas,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.11
401050 Nutrition_I,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.14
401052 Aging,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.31
402-OMS-6232-NBS2,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.32
402001 Neurophychological_Evaulation_Delirium,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.31
402002 Anxiety_Disorders_Psychoses,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.21
402003 Mood_Disorders,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.19
402004 Somatoform_Disorders_Personality_Disorders,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.38
402005 Eating_Disorders_Somatoform_Personality_Disorders,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.26
402006 Behavior_Change_Vulnerable_Patients,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.78
402007 Behavioral_Medicine_Of_Gender_(Issues_Specific_To_Women_Lgbt_Patients),SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.52
402008 Child_Neuropsychiatry_Child_Adolescent_Behavioral_Medicine,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.29
402009 Geriatric_Neuropsychiatry,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.53
402010 Motor_Disorders_Motor_Disorder_Associated_Dementing_Syndromes,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.20
402011 Traumatic_Brain_Injury_Cerebrovascular_Disorders,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.36
402012 Brain_Tumors_Seizure_Disorders,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.23
402013 Neuroimmune_Disorders,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.32
402014 Sleep_Disorders,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.20
402015 Headach_Chronic_Pain,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.27
402016 End_Of_Year_Review_Neurologic_Lesion_Localization_Recap_Review_Of_Syndromes_(High_Yield_For_Boards,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.22
403-OMS-6262-MM2,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.34
403002 Utis_(Hour_1_Of_2),SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.22
403004 Human_Papilloma_Virus_(Online_Lecture),SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.10
403005 Stis_And_Obstetric_Perinatal_Infections_(Hour_1_Of_2),SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.21
403007 Human_Immunodeficiency_Virus,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.19
403009 Rubella_Virus_And_Cytomegalovirus_(Online_Lecture),SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.11
403011 Bacterial_Skin_Infections_(Hour_1_Of_2),SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.22
403013 Fungal_Skin_Infections_(Online_Lecture),SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.09
403014 Viral_Skin_Infectiions_(Hour_1_Of_2),SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.13
403016 Parasitic_Skin_Infections_(Online_Lecture),SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.15
403017 Parasitic_Muscle_Infections,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.12
403019 Bacterial_Gi_Diseases_(Hour_1_Of_2),SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.15
403020 Bacterial_Gi_Diseases_(Hour_2_Of_2),SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.17
403021 Oral_Cavity_Infections_(Online_Lecture),SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.16
403022 Viral_Diarrheal_Diseases,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.15
403023 Viral_Hepatitis,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.13
403024 Helminths_And_Parasitic_Infections_Affecting_The_Liver,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.09
403025 Gi_Parasites,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.14
403026 Capstone_Session,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.34
404001 Exam_5_Review_Cns_Antimicrobials,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.11
404002 General_Anesthetics_I,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.19
404004 Local_Anesthetics,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.17
404005 Hypothalamic_Pituitary_Hormones_I,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.13
404006 Hypothalamic_Pituitary_Hormones_Ii,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.12
404007 Adrenocoricosteriods,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.10
404008 Hypoglycemic_Agents_I,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.12
404011 Tyroid_Hormones,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.09
404012 Parathyroid_Bone_Mineral_Homeostasis,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.09
404013 Ocular_Ear_Pharmacology,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.19
404014 Case_Study_Medical_Marijuana,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.42
404015 Urinary_Tract_Infections_Incontinence,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.11
404016 Sexually_Transmitted_Diseases_(Stds),SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.16
404017 Weight_Management_Drugs,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.27
404018 Men_S_Health_I_(Including_Ergogenics),SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.17
404020 Womens_Health_I,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.12
404021 Womens_Health_Ii,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.14
404024 Dosage_Calculations,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.28
404025 Prescription_Writing_Prescription_Writing_Exercise_With_Clincial_Sciences_Ii,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.44
404026 Drug_Regulation_Safety_I,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.55
404028 Antifungal_Agents,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.06
404029 _Dermatologic_Pharmacology,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.17
404030 Treatment_Of_Gout,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.09
404031 Treatment_Of_Arthritis,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.12
404032 Treatment_Of_Migraine_Headache,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.19
404033 Ectoparasiticides,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.20
404034 Nmj_Blockers_Musle_Relaxants,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.18
404036 Pain_Management,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.14
404037 Opioid_Analgesics,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.10
404038 Non_Opiod_Analgesics_Nsaids,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.14
404039 Case_Study_The_Opiate_Mystery_I,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.29
404042 Gastrointestinal_Pharmacology_Acidity,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.13
404043 Gastrointestinal_Pharmacology_Motility,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.15
404044 Gastrointestinal_Pharmacology_Other,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.18
404045 Antiprotozoal_Agents,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.16
404046 Antihelminthic_Agents,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.11
404048 Herbal_Other_Dietary_Supplements_I,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.28
404050 Drug_Interactions_Adverse_Drug_Reactions,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.19
404051 Toxicology,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.23
404052 Drug_Overdose_Poison_Management,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.22
405-OMS-7292-CS2,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.42
405001 Disorder_Of_Adrenal_Gland,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.06
405002 Disorder_Of_Pituitary,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.07
405003 Disorders_Of_Thyroid,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.08
405004 Disorders_Of_Parathyroid,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.06
405005 Disorders_Of_Lipids,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.08
405007 Approach_Renal_Patient,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.21
405008 Diabetes,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.18
405009 Diabetes,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.42
405010 Approach_To_Renal_Patient,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.25
405012 Acute_Kidney_Injury,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.22
405013 Pediatric_Endocrine_Renal,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.12
405014 Pediatric_Endocrine_Renal,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.10
405015 Glomerular_Disease,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.16
405017 Tublar_Intersitial_Disease_Of_Kidney,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.23
405018 Chronic_Kidney_Disease,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.29
405019 Nephrolithiasis,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.22
405020 Fluid_Electrolytes,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.13
405022 Vascular_Disease_Of_Kidney,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.25
405025 Medical_Human_Sexulaity,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.28
405026 Sexual_Menstural_Ob_History,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.40
405027 Contraception_Infertility,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.36
405030 Normal_Gestation,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.29
405031 Normal_Gestation,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.29
405032 Reproductive_Endocrine_Disease,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.16
405033 Menopause_Osteoporsis,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.24
405034 Abnormal_Vaginal_Hemorrhage,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.11
405036 Disorders_Of_The_Breast,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.18
405039 Pelvic_Infection_Inflammation,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.21
405041 Gynocologic_Oncology,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.13
405044 Disorders_Of_The_Male_Gu,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.20
405046 Pediatrics_Infectious_Disease,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.25
405048 Neonatology,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.16
405050 Approach_To_Patient_With_Ms_Disease,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.23
405054 Dermatology_1,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.07
405055 Spondyloarthitis,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.21
405056 Infection_Of_Bone_Joints,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.27
405057 Rheumatoid_Arthritis,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.22
405058 Systemic_Lupus_Erythematous,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.18
405059 Wound_Closure_Wound_Healing,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.20
405061 Dermatology_2,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.17
405062 Osteoarthritis_Crystal_Arthropathies,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.08
405063 Osteoarthritis_Crystal_Arthropathies,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.14
405064 Sports_Medicine,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.31
405065 Sarcoidosis_Sjogren,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.21
405066 Systemic_Vasculitis,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.13
405067 Acute_Injury_Fractures,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.04
405069 Pediatrics_Ortho,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.15
405071 Miscellaneous_Musculoskeletal_Disorder_Systemic_Sclerosis,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.12
405073 Dermatology_3,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.18
405074 Oral_Health_1,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.08
405075 Oral_Health_2,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.13
405076 Approach_To_Patient_With_Gi_Disease,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.19
405078 Gi_Imaging,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.09
405080 Disorder_Of_Stomach_Duodenum,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.21
405081 Oral_Health_3,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.11
